상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,대지구분코드,대지구분명,지번본번지,지번부번지,지번주소,도로명코드,도로명,건물본번지,건물부번지,건물관리번호,건물명,도로명주소,구우편번호,신우편번호,동정보,층정보,호정보,경도,위도
MA0101202409A0139468,제이앤핏,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26290,남구,26290700,문현3동,2629010900,문현동,2629010900104050006,1,대지,405,6,부산광역시 남구 문현동 405-6,262903131037,부산광역시 남구 수영로,19,,2629010900104050006015363,,부산광역시 남구 수영로 19,608824,48415,,3,,129.069896695652,35.1372461853877
MA0101202409A0082343,유플렉스짐,화명점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122700003,1,대지,2270,3,부산광역시 북구 화명동 2270-3,263202132002,부산광역시 북구 화명대로,9,,2632010200122700003016161,코스모북부산빌딩,부산광역시 북구 화명대로 9,616852,46524,,8,,129.009370344441,35.2356274800806
MA0101202409A0239235,건담짐헬스&PT,화명점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200122770004,1,대지,2277,4,부산광역시 북구 화명동 2277-4,263202132001,부산광역시 북구 금곡대로,287,,2632010200122770004007901,삼한골든뷰,부산광역시 북구 금곡대로 287,616852,46526,,11,,129.013310715534,35.2341831999158
MA0101202409A0111411,헬스캐어,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85612,기타 스포츠 교육기관,26,부산광역시,26230,부산진구,26230540,연지동,2623010600,연지동,2623010600101250000,1,대지,125,,부산광역시 부산진구 연지동 125,262304187415,부산광역시 부산진구 새싹로92번길,68,,2623010600101250000050624,,부산광역시 부산진구 새싹로92번길 68,614860,47196,,,,129.052769383727,35.168141170901
MA0101202409A0246658,이루짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230720,가야2동,2623011000,가야동,2623011000106290000,1,대지,629,,부산광역시 부산진구 가야동 629,262302006015,부산광역시 부산진구 가야대로,509,,2623011000106290000019249,가야스퀘어,부산광역시 부산진구 가야대로 509,614801,47270,,6,,129.027757075509,35.1534950793058
MA0101202409A0137837,레몬짐PT,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26260,동래구,26260545,명륜동,2626010700,명륜동,2626010700104500004,1,대지,450,4,부산광역시 동래구 명륜동 450-4,262604190101,부산광역시 동래구 명륜로103번길,20,,2626010700104500004014362,,부산광역시 동래구 명륜로103번길 20,607804,47738,,2,,129.082073769245,35.2030922533609
MA0101202409A0018506,버닝209그룹PT/그룹운동,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26500,수영구,26500800,민락동,2650010300,민락동,2650010300101610017,1,대지,161,17,부산광역시 수영구 민락동 161-17,265003138002,부산광역시 수영구 광남로,209,,2650010300101610017004496,스타빌딩,부산광역시 수영구 광남로 209,613829,48277,,1,,129.121855477662,35.1589480706868
MA0101202409A0027528,바바바디라운지,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26380,사하구,26380561,하단1동,2638010300,하단동,2638010300105890022,1,대지,589,22,부산광역시 사하구 하단동 589-22,263803006030,부산광역시 사하구 낙동남로,1426,,2638010300105890022011903,하단프라자,부산광역시 사하구 낙동남로 1426,604850,49427,,5,,128.96761260077,35.1059313724685
MA0101202409A0238289,에스클래스짐,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26230,부산진구,26230560,양정1동,2623010100,양정동,2623010100105110003,1,대지,511,3,부산광역시 부산진구 양정동 511-3,262303129011,부산광역시 부산진구 동평로,350,,2623010100105110003054044,양정현대프라자,부산광역시 부산진구 동평로 350,614858,47206,,6,,129.063245723603,35.1744875148685
MA0101202409A0046691,오케이피트니스,다대점,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,P85612,기타 스포츠 교육기관,26,부산광역시,26380,사하구,26380601,다대1동,2638010600,다대동,2638010600115480024,1,대지,1548,24,부산광역시 사하구 다대동 1548-24,263804202163,부산광역시 사하구 다대낙조1길,5,,2638010600115480024018631,,부산광역시 사하구 다대낙조1길 5,604827,49505,,4,,128.965232167173,35.0492310476477
MA0101202406A0011511,새싹피티,,R1,예술·스포츠,R103,스포츠 서비스,R10307,헬스장,R91132,체력 단련시설 운영업,26,부산광역시,26320,북구,26320543,화명3동,2632010200,화명동,2632010200123160012,1,대지,2316,12,부산광역시 북구 화명동 2316-12,263204196380,부산광역시 북구 학사로17번나길,21,,2632010200123160012010804,하은빌딩,부산광역시 북구 학사로17번나길 21,616853,46542,,2,,129.008198751986,35.2233010044434
